CASEID,OFFICE_NAME,STATE,OFFICE_TYPE,JURIS,ACCR_IACME,ACCR_NAME,FT_TOT,PT_TOT,BUD_TOTAL,BUD_PERS_TOTAL,REP_CASE_NUM,ACC_CASE_NUM,COMPL_AUTO_TOTAL,CMS,WITHIN_BUSNSS
10201828,Limestone County Coroner,AL,Coroner office,"City Of Athens Alabama, Limestone County, City Of Madison Ala, City Of Huntsville Alabama, Elkmont Ala, Ardmore Ala",No,No,1,3,80000,24000,210,156,23,No,No
10201830,Macon County Coroner,AL,Coroner office,Macon County,Not in short questionnaire,Not in short questionnaire,1,0,16800,Not in short questionnaire,97,97,0,No,Not in short questionnaire
10201831,Madison County Coroner's Office,AL,Coroner office,Madison County,No,No,1,0,10000,Logical skip,600,600,75,No,Yes
10201832,Marengo County Coroner,AL,Coroner office,Marengo County Alabama,Yes,No,0,0,600,Logical skip,Logical skip,Logical skip,12,No,Yes
10201834,Marshall County Coroner,AL,Coroner office,Marshall County Alabama,No,No,1,0,23497,Logical skip,300,230,0,No,No
10201835,Dallas County Coroner,AL,Coroner office,"Dallas County, Alabama",No,No,1,0,9601,9601,207,207,42,No,No
10201838,Morgan County Coroner,AL,Coroner office,Morgan County,Not in short questionnaire,Not in short questionnaire,4,0,50000,Not in short questionnaire,400,400,30,Yes,Not in short questionnaire
10201839,Perry County Coroner,AL,Coroner office,Perry County,Not in short questionnaire,Not in short questionnaire,1,0,5000,Not in short questionnaire,25,20,6,No,Not in short questionnaire
10201840,Pickens County Coroner Office,AL,Coroner office,Pickens County,Not in short questionnaire,Not in short questionnaire,1,0,30000,Not in short questionnaire,60,50,12,No,Not in short questionnaire
10201841,Pike County Coroner,AL,Coroner office,Pike County Alabama,No,No,1,0,30000,Logical skip,58,58,21,Yes,No
10201842,Randolph County Coroner,AL,Coroner office,Randolph County Alabama,No,No,1,0,15000,Logical skip,75,75,0,No,No
10201843,Russell County Coroner,AL,Coroner office,Russell County Al,No,No,1,4,127498,71926,350,350,50,No,No
10201844,Shelby County Coroner's Office,AL,Coroner office,Shelby County Alabama,Will be by 2020,No,1,4,245000,120000,550,550,76,Yes,No
10201845,St. Clair County Coroner,AL,Coroner office,St Clair County,No,No,0,1,50000,Blank or nonresponse,175,175,50,No,No
10201846,Sumter County Coroner,AL,Coroner office,Sumter County,Not in short questionnaire,Not in short questionnaire,0,2,12000,Not in short questionnaire,Logical skip,Logical skip,0,Yes,Not in short questionnaire
10201847,Talladega County Coroner,AL,Coroner office,"Talladega County, Alabama",No,No,3,0,18000,18000,275,250,25,No,Yes
10201848,Tallapoosa County Coroner,AL,Coroner office,Tallapoosa County Alabama,No,No,1,1,63657,31547,144,120,0,No,No
10201850,Walker County Coroner,AL,Coroner office,"Walker County, Alabama",Yes,No,0,1,48000,24000,216,216,30,No,No
10201851,Washington County Coroner,AL,Coroner office,Washington County,No,No,0,0,20000,Logical skip,42,42,15,Yes,Yes
10201853,Winston County Coroner,AL,Coroner office,Winston County,Not in short questionnaire,Not in short questionnaire,1,0,0,Not in short questionnaire,152,74,22,Yes,Not in short questionnaire
10301854,Arkansas County Coroner,AR,Coroner office,"Arkansas County, Ar",No,Blank or nonresponse,1,2,30000000,Blank or nonresponse,75,40,18,Yes,Blank or nonresponse
10301855,Ashley County Coroner,AR,Coroner office,Ashley County,No,No,1,4,40000,40000,135,Logical skip,12,No,Yes
10301856,Baxter County Coroner's Office,AR,Coroner office,"Baxter County, Arkansas",No,No,2,3,90000,50000,700,700,25,Yes,No
10301857,Benton County Coroner's Office,AR,Coroner office,Benton County Arkansas,No,No,2,2,389480,312380,1790,1578,22,Yes,No
10301858,Boone County Coroner,AR,Coroner office,Boone County Arkansas,No,No,1,3,47955,20140,380,200,0,Yes,No
10301860,Calhoun County Coroner,AL,Coroner office,Calhoun County,Not in short questionnaire,Not in short questionnaire,0,2,42000,Not in short questionnaire,600,600,0,Yes,Not in short questionnaire
10301861,Carroll County Coroner,AR,Coroner office,Carroll County Arkansas,No,No,1,0,27000,11500,150,150,0,No,Yes
10301862,Chicot County Coroner,AR,Coroner office,Chicot County,Not in short questionnaire,Not in short questionnaire,1,2,20000,Not in short questionnaire,55,55,0,No,Not in short questionnaire
10301863,Clark County Coroner,AR,Coroner office,Clark County,Not in short questionnaire,Not in short questionnaire,0,5,50000,Not in short questionnaire,200,150,0,Yes,Not in short questionnaire
10301864,Clay County Coroner,AR,Coroner office,Clay County,Yes,No,0,1,9000,7000,140,140,10,Yes,Yes
10301865,Cleburne County Coroner,AR,Coroner office,"Cleburne County, Arkansas",No,No,1,0,0,25458,259,200,0,Yes,Yes
10301867,Columbia County Coroner's Office,AR,Coroner office,Columbia County,No,No,0,0,14204,7697,Logical skip,Logical skip,0,No,Yes
10301868,Conway County Coroner,AR,Coroner office,"Conway County, Arkansas",No,No,0,2,27000,15000,12,600,0,Yes,Yes
10301869,Craighead County Coroner's Office,AR,Coroner office,Craighead County Arkansas,No,No,1,8,139475,118593,1024,725,0,No,Yes
10301870,Crawford County Coroner,AR,Coroner office,"Crawford County, Arkansas",Yes,No,1,1,16204189,83560,350,325,0,Yes,No
10301871,Crittenden County Coroner,AR,Coroner office,Crittenden County,Not in short questionnaire,Not in short questionnaire,0,0,135000,Not in short questionnaire,Logical skip,Logical skip,111,No,Not in short questionnaire
10301872,Cross County Coroner,AR,Coroner office,Cross County,Yes,No,3,6,0,Blank or nonresponse,168,168,0,No,Yes
10301873,Dallas County Coroner,AR,Coroner office,Dallas County Arkansas,No,No,1,0,10000,0,53,43,0,No,Yes
10301874,Desha County Coroner,AR,Coroner office,Desha County,Not in short questionnaire,Not in short questionnaire,0,0,0,Not in short questionnaire,Logical skip,Logical skip,3,No,Not in short questionnaire
10301875,Drew County Coroner,AR,Coroner office,"Drew County, Ar",Yes,No,1,5,8000,20000,Logical skip,Logical skip,6,No,Yes
10301876,Faulkner County Coroner's Office,AR,Coroner office,"Faulkner County, Arkansas",Yes,Yes,3,3,269140,211583,948,Logical skip,60,Yes,No
10301877,Franklin County Coroner,AR,Coroner office,Franklin County,No,No,4,0,62000,Blank or nonresponse,Logical skip,Logical skip,0,No,Yes
10301879,Garland County Coroner's Office,AR,Coroner office,"Garland County, Arkansas",No,No,2,2,178000,115000,1519,325,31,Yes,No
10301881,Greene County Coroner,AR,Coroner office,"Greene County - Paragould, Ar",No,Will be by 2020,2,0,53122,30161,375,300,0,Yes,No
10301882,Hempstead County Coroner's Office,AR,Coroner office,Hempstead County,No,No,0,1,20000,13400,Logical skip,Logical skip,0,Yes,No
10301885,Independence County Coroner's Office,AR,Coroner office,"Ind County, Arkansas",No,No,8,0,25000,15000,Logical skip,Logical skip,0,Yes,No
10301887,Jackson County Coroner's Office,AR,Coroner office,Jackson County,Yes,No,0,1,0,Blank or nonresponse,Logical skip,Logical skip,0,No,Yes
10301889,Johnson County Coroner's Office,AR,Coroner office,Johnson County Arkansas,No,No,3,2,55000,45000,250,250,0,Yes,Yes
10301890,Lafayette County Coroner's Office,AR,Coroner office,"Lafayette County, Arkansas",No,No,2,0,6000,4800,Logical skip,Logical skip,0,No,No
10301892,Lee County Coroner's Office,AR,Coroner office,Lee County,Not in short questionnaire,Not in short questionnaire,8,0,21000,Not in short questionnaire,Logical skip,Logical skip,0,No,Not in short questionnaire
10301893,Lincoln County Coroner,AR,Coroner office,Lincoln County,No,No,0,3,8500,Logical skip,Logical skip,65,0,No,Yes
10301895,Logan County Coroner,AR,Coroner office,Logan County,Not in short questionnaire,Not in short questionnaire,1,4,36000,Not in short questionnaire,153,45,12,Yes,Not in short questionnaire
10301896,Lonoke County Coroner,AR,Coroner office,Lonoke County,Yes,Blank or nonresponse,0,0,87000,19000,416,159,0,Yes,No
10301898,Marion County Coroner,AR,Coroner office,"State Of Arkansas, County Of Marion",No,No,1,0,7913,0,133,45,0,No,Yes
10301899,Medical Examiner Divison of Arkansas State Crime Laboratory,AR,Medical examiner office,State Of Arkansas,No,Yes,25,0,3071500,Logical skip,1509,1509,1330,Yes,No
10301900,Miller County Coroner,AR,Coroner office,Miller County,No,No,1,3,42000,Logical skip,350,350,50,No,Yes
10301901,Mississippi County Coroner,AR,Coroner office,Mississippi County Arkansas,No,No,0,1,21893,Blank or nonresponse,266,Logical skip,55,No,No
10301902,Monroe County Coroner,AR,Coroner office,Monroe County,No,No,0,0,6000,Logical skip,50,50,0,No,Yes
10301904,Nevada County Coroner,AR,Coroner office,Nevada County,Not in short questionnaire,Not in short questionnaire,1,0,10894,Not in short questionnaire,Logical skip,Logical skip,15,No,Not in short questionnaire
10301905,Newton County Coroner,AR,Coroner office,"Newton County, Arkansas",No,No,1,4,7500,Logical skip,60,60,6,No,No
10301908,Phillips County Corner,AR,Coroner office,Phillips County,Not in short questionnaire,Not in short questionnaire,0,2,39000,Not in short questionnaire,145,145,9,No,Not in short questionnaire
10301909,Pike County Coroner,AR,Coroner office,Pike County Arkansas,No,No,2,0,11000,5000,25,23,0,Yes,No
10301910,Poinsett County Coroner,AR,Coroner office,"Poinsett County, Arkansas",No,No,2,6,18000,14000,163,163,0,No,No
10301911,Polk County Coroner's Office,AR,Coroner office,"Polk County, Arkansas",No,No,0,0,2000,Logical skip,Logical skip,Logical skip,4,No,Yes
10301912,Pope County Coroner's Office,AR,Coroner office,Pope County Arkansas,No,No,1,6,98000,74800,650,525,0,Yes,Yes
10301913,Prairie County Coroner,AR,Coroner office,Prairie County,No,No,1,0,1,Logical skip,Logical skip,Logical skip,0,No,Yes
10301914,Pulaski County Coroner's Office,AR,Coroner office,"Pulaski County, Arkansas",No,No,12,0,1300000,717737,5260,3000,800,Yes,No
10301916,Saline County Coroner's Office,AR,Coroner office,"Saline County, Arkansas",No,No,3,6,251326,212825,800,Logical skip,78,Yes,No
10301918,Searcy County Coroner,AR,Coroner office,"Searcy County, Arkansas",No,No,0,0,2000,Logical skip,24,24,0,No,Yes
10301919,Sebastian County Coroner's Office,AR,Coroner office,Sebastian County,No,No,2,0,97500,52000,1725,600,0,Yes,No
10301920,Sevier County Coroner,AR,Coroner office,Sevier County,Not in short questionnaire,Not in short questionnaire,1,0,10000,Not in short questionnaire,Logical skip,Logical skip,0,No,Not in short questionnaire
10301921,Sharp County Coroner,AR,Coroner office,Sharp County,No,No,1,0,14194,10364,365,168,0,No,Yes
10301922,St. Francis County Coroner,AR,Coroner office,St. Francis County,Not in short questionnaire,Not in short questionnaire,1,0,15000,Not in short questionnaire,125,125,0,No,Not in short questionnaire
10301923,Stone County Coroner,AR,Coroner office,"Stone County, Arkansas",Will be by 2020,Will be by 2020,0,0,8000,600,Logical skip,Logical skip,0,Yes,Yes
10301924,Union County Coroner,AR,Coroner office,"Arkansas State, Union County",Will be by 2020,No,1,4,106713,86801,Logical skip,Logical skip,18,Yes,No
10301925,Van Buren County Coroner,AR,Coroner office,Van Buren County,No,No,0,3,5500,Logical skip,125,85,0,Yes,Yes
10301927,White County Coroner,AR,Coroner office,White County,Not in short questionnaire,Not in short questionnaire,1,3,5000,Not in short questionnaire,115,400,0,Yes,Not in short questionnaire
10301930,Calhoun County Coroner's Office,AR,Coroner office,Calhoun County,Blank or nonresponse,No,0,0,1423000,Blank or nonresponse,1,110,0,Yes,No
10401930,Apache County Medical Examiner,AZ,Medical examiner office,Apache County,No,No,2,0,0,Blank or nonresponse,70,60,0,Yes,No
10401934,Greenlee County Medical Examiner,AZ,Medical examiner office,"Greenlee County, Clifton Arizona",No,No,0,1,1,Logical skip,19,10,0,No,Yes
10401935,Maricopa County Office of the Medical Examiner,AZ,Medical examiner office,"Maricopa County, Az",No,Yes,94,3,11472649,10179098,10850,6124,2989,Yes,No
10401936,Pima County Office of the Medical Examiner,AZ,Medical examiner office,"Pima, Santa Cruz And Cochise Counties, Arizona",No,Yes,33,2,3944048,3301559,3271,2039,1260,Yes,No
10401937,Pinal County Medical Examiner's Office,AZ,Medical examiner office,"Pinal County (Arizona), Gila River Indian Reservation (Arizona)",No,No,7,4,828366,666384,698,440,197,Yes,No
10401938,Yavapai County Medical Examiner,AZ,Medical examiner office,"Arizona, Yavapai County",No,No,6,0,850000,500000,700,400,200,Yes,No
10401939,Coconino County Medical Examiner's Office,AZ,Medical examiner office,"Coconino County  as Needed For Navajo Nation, Hopi Nation, Navajo County, Apache County, Etc.",No,Will be by 2020,7,0,990341,783283,638,353,299,No,No
10401940,Mohave County Office of the Medical Examiner,AZ,Medical examiner office,Mohave County,Not in short questionnaire,Not in short questionnaire,9,0,3000,Not in short questionnaire,2369,622,293,Yes,Not in short questionnaire
10401941,Yuma County Medical Examiner,AZ,Medical examiner office,"Yuma County, City Of Yuma, City Of San Luis, City Of Somerton, Wellton, Tacna, Gadsden.",No,No,6,4,657690,332032,1266,438,24,Yes,Yes
10401942,Santa Cruz County Medical Examiner,AZ,Medical examiner office,Santa Cruz County,Will be by 2020,No,7,0,1761095,1301892,767,293,203,Yes,No
10401944,Navajo County Medical Examiner,AZ,Medical examiner office,Navajo County,No,No,3,1,100000,50000,Logical skip,Logical skip,0,No,No
10500001,Solano County Sheriff-Coroner,CA,Sheriff-coroner office,Solano County In It's Entirety,No,No,6,0,1785420,1215003,1222,420,268,Yes,No
10500002,Sonoma County Sheriff-Coroner's Unit,CA,Sheriff-coroner office,"County Of Sonoma, California",No,No,6,7,2500000,730000,2054,500,250,Yes,No
10500003,Stanislaus County Coroner Facility,CA,Sheriff-coroner office,Stanislaus County,No,No,8,2,2628310,Logical skip,2867,800,478,Yes,No
10500006,Trinity County Sheriff-Coroner,CA,Sheriff-coroner office,"Trinity County, California",No,No,6,0,36800,Blank or nonresponse,Logical skip,Logical skip,210,Yes,No
10500007,Tulare County Sheriff-Coroner,CA,Sheriff-coroner office,Tulare County California,No,No,5,0,600000,Logical skip,1017,622,300,Yes,No
10500008,Tuolumne County Sheriff's Office,CA,Sheriff-coroner office,Tuolumne County,No,No,8,0,422031,408531,120,120,50,Yes,No
10500009,Ventura County Medical Examiner,CA,Medical examiner office,Ventura County,No,No,12,0,32500000,2500000,1563,821,418,Yes,No
10500010,Yolo County Sheriff-Coroner,CA,Sheriff-coroner office,Yolo County,No,No,5,1,350000,Blank or nonresponse,888,1046,80,Yes,No
10500011,Yuba County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Yuba County,No,No,49,0,14135998,10606832,752,144,109,Yes,No
10501939,Alpine County Sheriff's Office,CA,Sheriff-coroner office,"Alpine County, California. Towns Of Markleeville, Woodfords, Bear Valley, And Parts Of Kirkwood",No,No,21,0,3312746,1394190,10,10,9,Yes,No
10501940,Alameda County Sheriff-Coroner's Bureau,CA,Sheriff-coroner office,"County Of Alameda, California",No,No,30,0,8485777,5979135,4000,3500,1200,Yes,No
10501941,Amador County Sheriff-Coroner Office,CA,Sheriff-coroner office,"Amador County, City Of Jackson, City Of Sutter Creek, City Of Ione, City Of Plymouth, City Of Amador City.",No,No,32,0,402186,Logical skip,140,111,85,Yes,No
10501942,Butte County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Butte County,No,No,3,0,1235701,237150,810,555,460,Yes,No
10501943,Calaveras County Coroner's Office,CA,Coroner office,"Calaveras County, State Of California",No,No,1,3,380000,80000,Logical skip,Logical skip,80,No,Yes
10501944,Colusa County Coroner,CA,Sheriff-coroner office,Colusa County,No,Blank or nonresponse,4,0,200941,90133,62,62,32,No,No
10501945,Contra Costa Coroner's Division,CA,Sheriff-coroner office,Contra Costa County,No,No,9,1,3298499,2250191,6142,732,488,No,No
10501946,Del Norte County Sheriff-Coroner,CA,Sheriff-coroner office,Del Norte County California,No,No,1,1,201700,Logical skip,197,197,31,Yes,No
10501947,El Dorado County Sheriff- Coroner,CA,Sheriff-coroner office,El Dorado County,Will be by 2020,Will be by 2020,7,70,600000,Logical skip,487,400,200,Yes,No
10501948,"Fresno County Sheriff-Coroner, Coroner Division",CA,Sheriff-coroner office,Fresno County,No,No,9,0,1000000,100000,Logical skip,Logical skip,405,Yes,No
10501950,Humboldt County Coroner,CA,Sheriff-coroner office,Humboldt County,No,No,5,0,970000,614000,645,299,139,Yes,No
10501951,Imperial County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Imperial County California,No,No,5,0,500000,360000,590,255,109,Yes,No
10501952,Inyo County Coroner's Office,CA,Coroner office,Inyo County,No,No,2,5,164000,70000,76,76,40,No,Yes
10501953,Kern County Sheriff-Coroner,CA,Sheriff-coroner office,"Federal, State, And Local Jurisdictions Within County Of Kern, Ca",No,No,19,3,1792628,Logical skip,2850,1044,350,Yes,No
10501954,Kings County Sheriff-Coroner,CA,Sheriff-coroner office,Kings County,Yes,Yes,3,0,350000,200000,400,250,70,Yes,No
10501955,Lake County Sheriff's Office,CA,Sheriff-coroner office,Lake County,No,No,39,0,9449823,8085520,297,208,162,Yes,No
10501956,Lassen County Sheriff-Coroner,CA,Coroner office,County Of Lassen,No,No,0,36,4200000,3800000,250,94,60,Yes,No
10501957,Los Angeles County Medical Examiner-Coroner,CA,Medical examiner office,Los Angeles County,No,Yes,180,5,41632000,32853000,18238,9895,3436,Yes,No
10501958,Madera County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Madera County,No,No,3,0,715000,Logical skip,467,220,98,Yes,No
10501959,Marin County Sheriff's Office Coroner Division,CA,Sheriff-coroner office,"Marin County, Ca",No,No,7,2,1356040,783121,898,290,195,Yes,No
10501960,Mariposa County Sheriff's Office,CA,Sheriff-coroner office,Mariposa County,No,No,43,0,7500000,1900000,151,45,27,Yes,No
10501961,Mendocino County Sheriff-Coroner,CA,Sheriff-coroner office,Mendocino County,No,No,34,0,350000,Logical skip,317,317,142,Yes,No
10501962,"Merced County Sheriff's Department, Coroner's Division",CA,Sheriff-coroner office,Merced County,No,No,7,2,1589677,538239,566,481,161,Yes,No
10501963,Modoc County Sheriff's Office,CA,Sheriff-coroner office,Modoc County,No,No,11,0,25000,Logical skip,34,34,10,Yes,No
10501964,Mono County Sheriff Department-Coroner,CA,Sheriff-coroner office,Mono County,No,No,24,0,7000000,800000,52,52,28,Yes,No
10501965,Monterey County Sheriff-Coroner,CA,Sheriff-coroner office,"Monterey County, California",No,No,7,2,2500000,1500000,1110,1110,357,Yes,No
10501966,Napa County Sheriff/Coroner's Office,CA,Sheriff-coroner office,County Of Napa,No,No,4,0,840560,368906,792,792,45,Yes,No
10501967,Nevada County Sheriff-Coroner's Office,CA,Coroner office,County Of Nevada In The State Of California,No,No,0,27,200000,Logical skip,346,141,100,Yes,No
10501968,Orange County Sheriff/ Coroner's Office,CA,Sheriff-coroner office,Orange County,No,No,42,0,7995826,5762510,8479,5879,1540,Yes,No
10501969,Placer County Sheriff-Coroner,CA,Sheriff-coroner office,Placer County,Not in short questionnaire,Not in short questionnaire,7,0,1619396,Not in short questionnaire,2619,315,266,No,Not in short questionnaire
10501970,Plumas County Sheriff's Office,CA,Sheriff-coroner office,The County Of Plumas,No,No,22,0,1,1,130,55,10,No,No
10501971,Riverside County Sheriff-Coroner,CA,Sheriff-coroner office,Riverside County,No,No,54,0,11241217,8425445,15547,3063,1476,Yes,No
10501972,Sacramento County Coroner,CA,Coroner office,Sacramento County,No,No,30,0,7909719,4056096,6804,1699,791,Yes,No
10501973,San Benito County Sheriff's Office,CA,Sheriff-coroner office,"San Benito County, Ca",No,No,5,0,45000,Blank or nonresponse,100,45,45,Yes,No
10501974,San Bernardino County/Sheriff Coroner,CA,Sheriff-coroner office,San Bernardino County,Not in short questionnaire,Not in short questionnaire,20,2,1000000,Not in short questionnaire,9005,9005,1893,Yes,Not in short questionnaire
10501975,San Diego County Medical Examiner's Office,CA,Medical examiner office,County Of San Diego,No,Yes,57,0,11468578,8378731,8347,3232,1769,Yes,No
10501976,San Francisco Office of the Chief Medical Examiner,CA,Medical examiner office,City And County Of San Francisco,Yes,No,35,0,11413559,7161055,2549,1176,850,Yes,No
10501977,San Joaquin County Sheriff-Coroner,CA,Sheriff-coroner office,San Joaquin County,No,No,12,0,2200000,402212,2775,829,550,Yes,No
10501978,San Luis Obispo County Sheriff-Coroner,CA,Sheriff-coroner office,County Of San Luis Obispo And All Seven Cities Within,No,No,6,1,1351872,1180388,1646,251,184,No,No
10501979,San Mateo County Coroner's Office,CA,Coroner office,San Mateo County,Will be by 2020,No,14,4,3469943,2344639,2247,545,206,Yes,No
10501980,Santa Barbara County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Santa Barbara County,No,No,7,2,1965646,1587796,3225,1389,54,No,No
10501981,Santa Clara County Medical Examiner-Coroner Office,CA,Medical examiner office,"Santa Clara County, Northern California",No,No,23,2,6791359,5510819,3653,1258,616,Yes,No
10501983,Shasta County Sheriff-Coroner's Office,CA,Sheriff-coroner office,Shasta County,Not in short questionnaire,Not in short questionnaire,7,0,1358026,Not in short questionnaire,885,323,276,Yes,Not in short questionnaire
10501984,Sierra County Sheriff-Coroner,CA,Coroner office,Sierra County,No,No,9,0,1525649,1300529,16,16,0,Yes,No
10501985,Siskiyou County Sheriff-Coroner,CA,Sheriff-coroner office,"Siskiyou County + Contract Cities (Dunsmuir, Fort Jones, Montague, And Dorris)",No,No,5,0,16924190,10917664,195,98,42,Yes,No
10600012,Adams and Broomfield County Office of the Coroner,CO,Coroner office,Adams and Broomfield County,Not in short questionnaire,Not in short questionnaire,10,0,2500000,Not in short questionnaire,4000,1000,650,Yes,Not in short questionnaire
10600014,Arapahoe County Coroner,CO,Coroner office,Arapahoe County Colorado,No,Yes,13,1,1705200,1110954,3550,605,383,Yes,No
10600015,Archuleta County Coroner,CO,Coroner office,Archuleta County,Not in short questionnaire,Not in short questionnaire,1,0,100000,Not in short questionnaire,55,55,40,No,Not in short questionnaire
10600016,Baca County Coroner,CO,Coroner office,Baca County,No,No,0,0,30000,10000,40,40,10,No,No
10600017,Bent County Coroner,CO,Coroner office,Bent County,Not in short questionnaire,Not in short questionnaire,0,0,34000,Not in short questionnaire,Logical skip,Logical skip,4,No,Not in short questionnaire
10600018,Boulder County Coroner,CO,Coroner office,"Boulder County, Colorado",No,No,12,4,1245716,829283,1974,363,250,Yes,No
10600019,Chaffee County Coroner's Office,CO,Coroner office,"Chaffee County, Salida, Colorado",No,No,7,0,202000,78500,116,95,27,No,Yes
10600020,Cheyenne County Coroner's Office,CO,Coroner office,Cheyenne County Colorado,No,No,2,0,28050,Logical skip,10,Logical skip,4,No,No
10600021,Clear Creek County Coroner,CO,Coroner office,"Clear Creek County, Colorado",No,No,1,1,230000,171000,65,49,18,No,No
10600022,Conejos County Coroner,CO,Coroner office,Conejos County,Not in short questionnaire,Not in short questionnaire,1,0,55211,Not in short questionnaire,62,37,9,No,Not in short questionnaire
10600024,Crowley County Coroner,CO,Coroner office,16th Judicial District,No,No,1,2,24000,Logical skip,17,15,5,No,No
